order_id,order_date,order_year,order_month,order_day,order_hour,order_minute,order_second,is_weekend,order_status,return_reason,customer_id,customer_name,gender,age,customer_segment,country,city,customer_loyalty_score,total_orders_by_customer,account_creation_date,product_id,product_name,category,sub_category,brand,product_rating_avg,product_reviews_count,stock_quantity,unit_price_usd,quantity,discount_percent,discount_amount_usd,total_price_usd,cost_usd,profit_usd,tax_usd,currency,payment_method,payment_status,installment_plan,shipping_method,shipping_cost_usd,delivery_days,shipping_country,warehouse_location,delivery_status,rating,review_sentiment,customer_feedback,coupon_used,coupon_code,campaign_source,device_type,traffic_source,session_duration_minutes,pages_visited,abandoned_cart_before,fraud_risk_score,profit_margin_percent,order_priority,support_ticket_created
ORD-2O6NI,2024-05-25 08:44:01.364595,2024,5,25,8,44,1,Yes,Completed,,CUS-SJ4DA,Phillip Stone,Male,20,Regular,Australia,Adelaide,24.9,19,2022-01-31,PRD-M41C,Bedsheet Set Cotton,Home,Decor,Nikon,4.2,2434,418,182.52,4,10,73.01,657.07,360.52,296.55,49.75,USD,PayPal,Paid,No,Economy,5.48,14,Australia,USA-West,In Transit,5,Positive,Average quality,Yes,CPN-4UC,Organic,Tablet,Referral,55.3,16,No,19.2,45.13,Medium,Yes
ORD-IMU55,2026-01-10 05:43:11.362813,2026,1,10,5,43,11,Yes,Pending,,CUS-HORV3,April Schwartz,Female,59,Regular,Germany,Munich,34.7,8,2025-08-03,PRD-VHCM,Sports Bra High Impact,Clothing,Kids Wear,Sony,4.1,360,262,60.95,2,15,18.29,103.61,55.18,48.43,9.35,USD,Bank Transfer,Paid,Yes,Next Day,0.77,4,Germany,EU-Central,In Transit,1,Negative,Not satisfied,Yes,CPN-79D,Instagram,Desktop,Social,38.5,6,Yes,25.5,46.74,High,No
ORD-BQ84N,2024-12-19 12:44:50.934988,2024,12,19,12,44,50,No,Completed,,CUS-HNWJH,Danielle Gutierrez,Female,73,Premium,United States,New York,71.3,7,2024-01-18,PRD-UG95,Protein Shaker Bottle,Health,Personal Care,Baseus,4.8,4716,679,127.83,3,20,76.7,306.79,193.05,113.74,24.94,USD,Debit Card,Paid,Yes,Standard,11.16,5,United States,Asia-Pacific,Delivered,2,Negative,Excellent!,No,,Email,Tablet,Social,7.9,19,No,18.8,37.07,High,Yes
ORD-TW1HI,2024-11-22 04:23:43.019594,2024,11,22,4,23,43,No,Completed,,CUS-SPTKS,Christopher Reeves,Male,34,Regular,Belgium,Liege,76.7,35,2021-04-04,PRD-F2T2,Wireless Mouse 2.4GHz,Electronics,Smartphones,HP,3.8,4784,597,170.14,1,5,8.51,161.63,95.72,65.91,12.29,USD,PayPal,Paid,Yes,Express,11.0,4,Belgium,USA-West,Delivered,2,Negative,,No,,Google Ads,Tablet,Social,2.1,11,No,26.0,40.78,Medium,No
ORD-YPOQF,2025-12-10 00:58:28.318328,2025,12,10,0,58,28,No,Completed,,CUS-2YA4A,Kevin Miller,Male,68,Regular,Spain,Bilbao,35.2,4,2021-11-09,PRD-4YAB,LED Strip Lights 5m,Home,Bedding,Anker,3.8,1617,926,29.82,3,0,0.0,89.46,52.2,37.26,6.37,USD,Apple Pay,Paid,No,Economy,14.57,8,Spain,EU-Central,Delivered,3,Neutral,,Yes,CPN-TX8,Google Ads,Desktop,Search,44.6,19,No,40.0,41.65,High,Yes
ORD-CY51B,2025-04-15 10:49:27.652048,2025,4,15,10,49,27,No,Completed,,CUS-9840L,Brian Mcbride,Male,21,Regular,Germany,Munich,38.2,31,2022-12-06,PRD-O7CW,Electric Toothbrush,Home,Bedding,Philips,3.3,329,306,101.1,4,5,20.22,384.18,281.84,102.34,23.32,USD,Credit Card,Paid,No,Express,6.03,7,Germany,USA-East,Delivered,5,Positive,Good value for money,No,,Email,Desktop,Search,11.1,6,Yes,96.2,26.64,High,No
ORD-IKRJJ,2025-06-17 17:44:46.856077,2025,6,17,17,44,46,No,Returned,Better Price Elsewhere,CUS-NNFUP,Rodney Cardenas,Male,56,Premium,Spain,Barcelona,38.9,41,2023-10-14,PRD-HBOL,Bedsheet Set Cotton,Home,Decor,Fitbit,3.1,2765,535,288.74,5,0,0.0,1443.7,638.25,805.45,122.37,USD,Debit Card,Paid,Yes,Economy,9.88,7,Spain,USA-East,Delivered,2,Negative,Fast delivery,No,,Facebook,Mobile,Direct,31.9,3,No,4.7,55.79,Low,No
ORD-P9CMQ,2025-05-09 05:42:03.211153,2025,5,9,5,42,3,No,Completed,,CUS-HCAI3,Eric Bishop,Male,57,Premium,United Kingdom,Manchester,3.4,28,2023-11-11,PRD-CVNR,Tennis Balls Pack,Sports,Outdoor,Nikon,3.9,1920,724,112.07,4,10,44.83,403.45,273.24,130.21,30.53,USD,Credit Card,Paid,No,Economy,23.44,5,United Kingdom,UK,Delivered,3,Neutral,,No,,Google Ads,Tablet,Referral,8.9,5,Yes,94.5,32.27,High,No
ORD-X1ADO,2024-09-19 07:23:17.766698,2024,9,19,7,23,17,No,Completed,,CUS-MPDXZ,Michaela Leblanc,Female,58,Regular,United States,Los Angeles,20.3,46,2022-12-18,PRD-C24Y,Air Fryer 5L,Home,Bedding,Fitbit,4.9,1382,602,118.06,3,5,17.71,336.47,198.78000000000003,137.69,27.76,USD,Debit Card,Paid,Yes,Economy,15.79,9,United States,EU-Central,Delivered,2,Negative,Average quality,No,,Instagram,Mobile,Referral,9.5,15,No,16.1,40.92,Medium,Yes
ORD-LOJ49,2024-12-19 00:47:02.645423,2024,12,19,0,47,2,No,Pending,,CUS-9N312,Emma Phillips,Female,47,Regular,Spain,Barcelona,50.0,9,2022-06-23,PRD-BXOC,Yoga Pants Leggings,Clothing,Womens Wear,Baseus,3.8,3984,752,122.62,5,0,0.0,613.1,250.55,362.55,53.2,USD,Bank Transfer,Failed,No,Economy,11.86,8,Spain,USA-East,Delivered,4,Positive,Average quality,No,,Instagram,Desktop,Direct,10.1,18,Yes,58.3,59.13,Medium,No
